model,variable,coef,std_error,pvalue,n_obs,n_entities,r2_within
univariate: num_pinned_deps,num_pinned_deps,0.0001553542530125824,0.0004561537681360309,0.7334244426881882,209924,13934,1.077235504465257e-06
univariate: num_floating_deps,num_floating_deps,-6.952525622512008e-05,0.00031918148910247004,0.827566795952781,209924,13934,6.949137820733142e-07
univariate: num_dependencies,num_dependencies,-0.0007836886031875468,0.0015801982865914885,0.6199349524249345,247342,13938,6.225010060534331e-06
univariate: version_releases,version_releases,-1.5773853215613158e-05,3.576101946911941e-05,0.6591478238404678,209924,13934,-2.571751833269076e-06
univariate: release_frequency,release_frequency,-3.488652150159153e-05,1.6398209043221367e-05,0.03338319736520767,209924,13934,2.311054410397695e-06
univariate: forks,forks,-1.9190864782753698e-05,1.1282587052114465e-05,0.08895790681848359,247342,13938,3.16184546034215e-05
univariate: stars,stars,-4.317492064230671e-08,1.9582577349813687e-06,0.9824099891856313,247342,13938,3.1311780723797256e-08
univariate: commits,commits,-8.091609293802469e-07,3.236099032029688e-06,0.8025550292990276,247342,13938,2.257292053942095e-06
univariate: maintainers,maintainers,0.0016653790855248375,0.0014321341570743885,0.24488536399765626,247342,13938,7.556188074131498e-06
univariate: sca_used,sca_used,0.03313530687203676,0.019752387470873416,0.093439408866687,246230,13925,2.3724598763541493e-05
combined,num_pinned_deps,0.0002563642499778277,0.00044437078772428725,0.5639974310216691,208859,13921,0.00012385049689200844
combined,num_floating_deps,-5.144863552797914e-05,0.0003114935168469897,0.8688122416180932,208859,13921,0.00012385049689200844
combined,num_dependencies,-0.000666405850114051,0.0019415169972833368,0.7314184596562181,208859,13921,0.00012385049689200844
combined,version_releases,-1.8015981907700347e-05,4.634175838898984e-05,0.6974515677898627,208859,13921,0.00012385049689200844
combined,release_frequency,-3.540941971718105e-05,2.0657294127409337e-05,0.08650527974892297,208859,13921,0.00012385049689200844
combined,forks,-5.5948225258507905e-05,1.6607596586123265e-05,0.0007550177116577572,208859,13921,0.00012385049689200844
combined,stars,8.74638208189202e-06,2.6809842601765783e-06,0.0011050112966664027,208859,13921,0.00012385049689200844
combined,commits,2.4802226329942015e-06,4.204924491522373e-06,0.5553002105077687,208859,13921,0.00012385049689200844
combined,maintainers,0.001668027210156428,0.002142032708987459,0.43615016292574604,208859,13921,0.00012385049689200844
combined,sca_used,0.036367374129846884,0.01950373976190883,0.062233963936077163,208859,13921,0.00012385049689200844
