variable,median_threshold,n_treated,n_control,ate_logit,se_logit,p_logit,ci_low_logit,ci_high_logit,ate_gbm,se_gbm,p_gbm,ci_low_gbm,ci_high_gbm,max_smd_before,max_smd_after_logit,max_smd_after_gbm
sca_tool,,29795,13180,0.08858382265921896,0.059736145414857986,0.13809612116171963,-0.028496870929150167,0.20566451624758808,-0.10443626139771209,0.06845343916620224,0.12709606299726367,-0.23860253678137203,0.02973001398594785,0.3917115596530067,0.24285505303513555,0.38399102212171443
num_direct_dependencies,13.0,20832,22143,-1.0086799171779912,0.045663332789788263,3.988376488876002e-108,-1.0981784048600431,-0.9191814294959393,-1.9452601004023782,0.046843895346153526,0.0,-2.0370724481764024,-1.853447752628354,0.5093809630247403,0.24350556389867103,0.49931557359250084
num_pinned_dependencies,2.0,19449,23526,-0.3904392704253369,0.0500168466111488,5.895894050558173e-15,-0.4884704884034528,-0.29240805244722096,-0.37448675147930743,0.05539561583838959,1.377789046968915e-11,-0.4830601634239676,-0.26591333953464724,0.48434853814375217,0.28188616929033095,0.4701955771982316
num_floating_dependencies,22.0,20993,21982,-0.3609655317000887,0.11210416158315482,0.0012822996677330108,-0.5806856509201309,-0.14124541248004654,-1.2861219137921147,0.060930673963292395,6.72190999066793e-99,-1.4055438403139202,-1.1666999872703092,0.7182218999521909,0.4297249332586793,0.6997623516020882
total_version_releases,168.0,21418,21557,-0.5687939940217215,0.05676534209115462,1.24386133659627e-23,-0.6800520200904802,-0.4575359679529628,-1.6170406828423973,0.053168286792187776,3.6274228034257926e-203,-1.721248610074782,-1.5128327556100127,0.9594891342838924,0.4676396608637554,0.9416849600569321
release_frequency_days,74.0,21362,21613,-1.475596877140311,0.03776624178379114,0.0,-1.5496173508679734,-1.4015764034126486,-2.1727150056210816,0.048782915834624,0.0,-2.268327763717793,-2.07710224752437,1.096686896119174,0.47303671889027726,1.0753274561463058
github_stars,28.0,21315,21660,-0.5157479725390978,0.06556154134469531,3.643405609979843e-15,-0.6442462323456343,-0.38724971273256126,-0.15570505331072737,0.061566331252953625,0.01143679044698789,-0.2763728452267792,-0.03503726139467553,0.8339924361200399,0.6234419589644903,0.8234396180079409
github_forks,14.0,21227,21748,1.2890202667054427,0.09076126978742705,8.863353063860057e-46,1.1111314467309623,1.466909086679923,0.2618361982386632,0.06295853187246045,3.198292085208882e-05,0.13843974324912364,0.38523265322820277,0.9269149689764512,0.6024233825901225,0.9189264987822022
github_commits,809.0,21473,21502,-0.9293088141911205,0.12169466883549888,2.233846624727836e-14,-1.1678259822192274,-0.6907916461630138,-1.5504812010276978,0.05940509952121115,3.632819616253453e-150,-1.6669130565872892,-1.4340493454681065,1.1953924471217845,0.5854069380727286,1.179898275730458
github_maintainers,6.0,19934,23041,0.2691797004435636,0.09606883526551684,0.005079535595667381,0.08088824328643915,0.457471157600688,-0.18249930467077113,0.05905226007016049,0.001998392337674063,-0.29823960761397844,-0.06675900172756384,0.691874132547083,0.38999730355759527,0.6817252119012707
scorecard_overall_score,5.0,20211,22764,-0.08836571848568853,0.05942011631868323,0.13697923115953073,-0.2048270064274884,0.028095569456111344,-0.04780194081956471,0.05728005623140473,0.4039822369577801,-0.16006878806554709,0.06446490642641767,0.521642629381879,0.10421012738726662,0.4999075041468509
