package_name,cls,slope,p_value,n_releases,median
mtdata,improving,-66.65444386796835,0.0,2,34.47277806601582
prusa-connect-sdk-printer,improving,-11.666666666666664,0.0,2,40.83333333333333
pycentral,improving,-10.402727648073649,0.013154253047849554,6,17.030340906152166
ws-sdk,improving,-7.051484244470572,0.0,2,32.474257877764714
fyle,improving,-4.562804879238103,0.0,2,6.218597560380949
vpn-server,improving,-3.09924858714399,0.0,2,3.700375706428005
starlette-babel,improving,-2.91078928053203,0.0,2,7.276973201330078
paddle2onnx,improving,-2.270359239151191,0.03849430631989487,6,10.364683483081524
jsonschema2md2,improving,-2.176184733046596,0.0,2,5.440461832616489
jsonschema2md,improving,-2.176184733046595,0.0,2,5.440461832616489
pyzeebe,improving,-1.9480112781414216,0.0005084779842277978,14,73.58153057223129
ain-py,improving,-1.6888884282251544,0.0,2,5.7269843573159935
pyhpke,improving,-1.5584156262503654,0.020474791696006196,9,10.0
pigar,improving,-1.4197068654410105,4.5108851821770275e-06,15,8.767396269503545
csaps,improving,-1.3947625268901667,0.041794680456045154,6,12.204172110288964
ms2deepscore,improving,-1.377916147731732,0.0,2,3.9163474982174504
chess-com,improving,-1.1270699734541365,0.022157307982995155,24,7.689215884848506
bandcamp-downloader,improving,-1.1227691898146306,0.0,2,6.175230543980467
httpx-auth,improving,-1.074164371238048,0.0011092680040973725,12,9.399655932059945
firebolt-ingest,improving,-0.7971327724450421,0.0,2,2.3737641799376865
dwave-ocean-sdk,improving,-0.656406306053208,0.0031612696852048885,3,2.6018971588613375
togglcli,improving,-0.6440698586994462,0.0,2,0.9779650706502769
synapseclient,improving,-0.6231430898315611,0.0,2,1.8409833096216628
django-cachalot,improving,-0.6123486481110566,1.4132730760982976e-06,22,0.890705646748594
gordo-client,improving,-0.5935126934733179,0.0,2,1.5365769865966747
nautobot-chatops,improving,-0.5852029237515994,0.0,2,0.9573985381242003
bugout,improving,-0.5523089431918482,0.0,2,4.825573620322818
wavelink,improving,-0.5312489208647637,1.5329035449159046e-09,57,13.701284438484745
whatsapp-api-client-python,improving,-0.4854618723965957,0.004452286189469766,13,9.0
tableauserverclient,improving,-0.4817230930701833,0.0009887478489848723,10,4.381534734473307
deep-labelprop,improving,-0.4582640988075555,0.01971909569036247,5,7.402727749968206
onelogin,improving,-0.4459801965286686,0.000924792033280186,15,2.5263100197060258
ikea-api,improving,-0.43673287603509625,0.0,2,1.031633561982452
hsmodels,improving,-0.43163257603543403,0.00024163764448210625,27,2.409564283964762
mongoengine-plus,improving,-0.42711679335897634,0.015484315874138756,21,6.319897638344189
tekore,improving,-0.41480266015605144,7.151977680925134e-05,19,1.757352662781449
pyseto,improving,-0.38541768576283447,0.0010611620287588196,12,1.3771228759353629
python-weather,improving,-0.380770256565672,0.00541343332664692,11,8.167397661420644
django-config-models,improving,-0.3561566010107803,0.0006794222521225102,21,16.13179898695887
discord-py-interactions,improving,-0.34500191928846446,0.00011069665939668451,36,4.941358650344104
skforecast,improving,-0.34428025430212217,0.009489239648507813,6,4.595266106151206
comicon,improving,-0.3144093115379823,0.034316599206396355,7,7.0427685784508
allianceauth-discordbot,improving,-0.3041125810870436,0.0,2,0.4479437094564782
pytorch-optimizer,improving,-0.30071552452618,0.0008925305706327156,20,13.706902740785196
depht,improving,-0.297900375369065,0.039197499651908004,7,2.0233556200765856
spine-engine,improving,-0.2798903512855859,0.0,2,0.5554899720209541
nb-cli,improving,-0.26352419083161993,0.01740055969259656,25,0.9430529060133528
pymongoarrow,improving,-0.25856231466387447,0.00585608780676937,15,5.579771401524916
indieweb-utils,improving,-0.25459022844546175,0.0,2,1.6548364848954993
httpx-oauth,improving,-0.2505796982804444,0.004883743185919117,27,4.799311864119887
