package_name,cls,slope,p_value,n_releases,median
django-multisite-edc,improving,-151.16746407902664,0.0,2,82.06724270824246
abb-motion-program-exec,improving,-111.93434416581597,0.02898562533618634,8,13.246869669246088
vsparsedvd,improving,-79.50749873640098,0.0,2,60.14000900416893
1337x,improving,-63.43083171384524,5.024984301102048e-07,17,628.584838433249
owlrl,improving,-60.758220496539074,0.0010791796476888856,10,45.378567820418674
dmr-kaitai,improving,-58.643511572111436,0.022632569252814937,12,866.6438823495953
rai-sdk,improving,-53.75539748730467,4.027632142358059e-09,25,348.7683244809819
fs-synapse,improving,-49.584171417553655,0.0,2,48.127493185289126
wq-create,improving,-49.0951253540281,0.014628125803784888,7,254.51413160484296
pytest-playbook,improving,-47.42811924335214,0.0,2,42.55594052603534
pystages,improving,-42.070913839101195,0.0,2,42.07091383910118
storage-device-managers,improving,-36.370823693098444,0.008495416076171197,8,213.39593315646593
archspec,improving,-35.44293765327548,0.0001849656783759089,10,113.32364808110015
mle-scheduler,improving,-34.38992148473193,0.03420612783601272,7,196.2343080942272
pykagapi,improving,-31.715031728347462,0.0,2,49.365525219007026
dotbot,improving,-30.062971899974436,0.0085574006871742,20,55.750365903833625
schema-enforcer,improving,-29.88408520876715,0.000699387278795783,12,256.72732384374183
dbus-idle,improving,-29.75619690405253,3.846363872744968e-06,13,274.9939358154899
hasiicommon,improving,-29.72558818143414,0.0005878009160978968,11,323.1594749676276
aio-quakeml-client,improving,-28.80497061818933,0.03871299869606653,7,213.6950126267497
gqlalchemy,improving,-26.490830306575614,3.324418435445558e-08,26,32.752298226746426
dime-sampler,improving,-26.18424189173419,0.0,2,21.379575881547517
osparc,improving,-24.937093400341848,0.0011866957583310054,12,21.884776248833628
ckanext-gbif,improving,-24.71613048250933,0.0008247387111321925,13,278.19224456108776
i-mongodb,improving,-24.414873163943135,0.002378553594436955,11,240.581985556494
domain-connect,improving,-23.56861911960467,0.01619312311958526,8,237.22786320833944
ansys-grantami-serverapi-openapi,improving,-21.31144918297499,7.055505640810656e-07,16,49.79571032280825
codeallybasic,improving,-21.162403587353197,0.011447467523469604,20,383.500438254767
kosmorrolib,improving,-20.941687054164465,7.839310733874985e-05,16,54.15295999571571
energyplus-regressions,improving,-20.379801085330165,0.004160018468754296,15,44.583737215637136
mahjong-utils,improving,-19.737226764792013,7.200545906207782e-13,43,75.65248199521618
p4runtime,improving,-19.670553393060423,0.0,2,22.06261011901892
pydo,improving,-19.580836144480003,2.972247428705612e-08,24,13.633100193993005
cosg,improving,-19.482975584227788,0.0,2,32.804301842611586
neon-transformers,improving,-19.057995933625822,0.00021501784500928075,15,221.3351878123423
codeallyadvanced,improving,-18.916011019598493,3.991555036073117e-07,15,156.737254159221
jsonschema-default,improving,-18.88794455142396,0.0011630258644331742,14,282.83089956670364
fmtutil,improving,-18.87989404374141,0.000490075968696668,26,25.78198932946119
time-decode,improving,-18.754287532669075,1.2652405854830957e-08,26,413.97085266920544
travshacl,improving,-18.75352651879963,5.138813583376465e-06,23,410.3928140779028
pyvcg,improving,-18.68658456518995,0.004142726639088181,8,17.49281712584746
radarr-py,improving,-18.64126887717525,0.0019168122258933595,12,234.29254343309873
pygeofilter,improving,-18.16851318781476,0.013240181298864295,10,40.57279792422949
vulp,improving,-18.108932407542813,0.0001954034904826041,17,22.54224856445321
googleapis-common-protos-stubs,improving,-18.033708393499822,0.000897696087953759,9,70.22630061791234
asyncio-mqtt,improving,-17.8792495256432,7.320573573690904e-12,27,199.56695909124085
gaphas,improving,-17.68189720497458,1.300057503390131e-12,59,45.14899738406076
dominodatalab,improving,-17.529208938421096,3.261156469042703e-10,23,90.48189310889842
shinywidgets,improving,-17.505541800105636,0.01058946533114226,25,117.09081849879688
hdate,improving,-17.47884937822799,4.511349574900673e-08,49,52.62119068398818
