package_name,cls,slope,p_value,n_releases,median
asdf-coordinates-schemas,worsening,143.7166329772574,0.0,2,91.10374581583478
pelican-graphviz,worsening,96.88342398137144,0.0017120962240562254,10,96.9946624533265
cafeteria,worsening,91.00462554310039,0.0383574005799195,6,669.2662842524066
flask-healthz,worsening,90.5570623238622,0.0,2,61.654124487954995
networkx-algo-common-subtree,worsening,81.80177927219913,0.0,2,75.28053470124678
echo,worsening,68.42355044367285,0.027238682250263144,9,176.49035300925925
pyjwt-rsa,worsening,64.95655317018344,0.0,2,43.11260728601175
aneris-iamc,worsening,62.94693064286222,0.0,2,36.426047744181865
django-click,worsening,52.06780559211561,0.005691901804561778,10,39.94827141834456
netcdf4,worsening,48.91503721183037,2.3894395225311896e-06,17,63.87956249126865
kfsfstr,worsening,40.09728448121713,0.010534343807372986,7,14.645021893090636
overlay-arrows-and-more,worsening,39.38466271086675,0.0,2,34.158644104033115
aiojobs,worsening,31.925277695643366,0.002541827550520037,9,202.9563561616547
mkl-fft,worsening,28.91009448699181,0.027920388870440464,7,16.017611585656066
prov,worsening,28.20651999773448,8.730313644083546e-05,10,83.83857779937495
rst2pdf,worsening,27.65614831200843,0.006666292366935905,10,125.96483629113854
pyvisa-py,worsening,26.609039413777754,0.014502305041942604,16,540.7305602170683
aeidon,worsening,24.99548332820301,0.02494965255584174,10,307.89234405833287
diff,worsening,24.555039146534416,0.008136780103616634,6,94.63678448239985
feedgenerator,worsening,23.8848813834482,0.03134238716828044,5,71.76078812591652
okta-jwt-verifier,worsening,23.57220647995788,0.008549629234459757,6,39.82515347023283
hatch-conda,worsening,21.98580075643925,0.002530206795672304,9,138.82517096150747
risk-distributions,worsening,21.733912783075326,0.0,2,13.6232322594458
sqlacodegen,worsening,21.35625151130674,0.0006207394968108321,20,149.25351480137397
bandcamp-downloader,worsening,21.192084180522876,0.02658441471206574,6,56.0831507159123
u8timeseries,worsening,19.598341302495882,0.0,2,29.534130949524865
array-split,worsening,19.553080082308032,0.041024024683193355,6,102.99994768684364
gismo,worsening,19.333495966354498,0.0,2,73.01001726784833
bytecode,worsening,18.118380117801106,3.0086105158928782e-05,15,208.32688614257464
delb,worsening,16.623270961140925,0.041557227718456345,6,8.538509442175206
pnu,worsening,16.22264311697723,0.0050970491876591315,6,16.6446284873911
powerbox,worsening,15.978096240192661,9.096529276457056e-06,13,210.98108172190405
fabio,worsening,15.444268402670968,0.034312564490712974,7,15.241782993709826
actfw-raspberrypi,worsening,14.395872168748463,0.013355586344656237,7,80.08262995339182
ufo-extractor,worsening,14.231614118720731,0.0075519140597230415,11,20.912615492977128
sbom2dot,worsening,13.495161395463803,0.04197759741105133,3,26.116140559267155
viewdom,worsening,13.18088119284736,0.03507683427006572,7,64.50774369834633
edgegrid-python,worsening,12.70819300483499,0.014368849149548198,6,59.9803560614332
comm,worsening,12.499279115010985,0.020982087726927036,7,76.69966341040573
python-youtube,worsening,12.340310247060243,4.210501311084447e-07,23,208.74048604815
wolframalpha,worsening,12.157867526803162,0.021472355278779363,6,33.11920094750134
mediatimestamp,worsening,11.708482158218558,9.158226335708799e-08,40,289.5360431447187
textx,worsening,11.614170463106666,0.008243625507799007,13,139.6958278734425
debut,worsening,11.019705607216805,0.011713321893110827,7,127.19229268051689
wxutils,worsening,10.713474966692642,0.04163565471495783,6,19.991280240350537
terra-classic-proto,worsening,10.625578255431858,0.017858933393617004,8,171.2551964061625
license-expression,worsening,10.59196055909392,1.9987465758976495e-09,36,19.452019545545536
braindecode,worsening,10.3489939015939,0.006458610005180375,7,38.5141644065771
prowlarr-py,worsening,10.323958452067782,0.03181544861317194,11,14.85903430902518
dir-content-diff,worsening,10.22270649909353,0.000380521961853438,16,132.47323830293078
