package_name,cls,slope,p_value,n_releases,median
mediadecoder,worsening,148.00951696998155,0.021311641128756713,6,287.79628299718627
bigfeta,worsening,93.09969796861444,0.0,2,46.54984898430722
rtfde,worsening,82.0,0.0,2,41.0
python-epo-ops-client,worsening,69.69857608986017,0.0,2,34.849288044930084
django-axis-order,worsening,54.626839745788125,0.0,2,27.313419872894062
stl-to-voxel,worsening,54.432311384732394,0.0,2,27.216155692366197
vpt-core,worsening,39.37647737617807,0.0,2,19.688238688089037
pyoscar,worsening,35.5,0.0,2,17.75
cel-python,worsening,35.333333333333336,0.0,2,17.666666666666668
kaiba,worsening,33.3065861645477,0.03170659862698148,6,12.425204073223775
sen,worsening,20.97392116631397,0.0009845017931390861,13,5.160267800985088
firebird-uuid,worsening,18.666666666666668,0.0,2,9.333333333333334
ml-collections,worsening,18.666666666666668,0.0,2,9.333333333333334
sphinxcontrib-autoprogram,worsening,17.39660047835761,0.0,2,8.698300239178804
pyqn,worsening,16.618724704693747,0.0,2,8.309362352346874
bluesky-widgets,worsening,16.593819227279827,0.0011525206620683803,6,26.48638377450198
pyvisa-sim,worsening,15.69591016080187,0.0,2,7.847955080400935
actfw-raspberrypi,worsening,15.325315127359485,0.0019061928486122847,8,53.84599548273463
imagequant,worsening,13.512339518558608,0.039365212264761716,6,1.0013617245004531
mozjpeg-lossless-optimization,worsening,13.512339518558605,0.0409911340680606,6,59.491996040381565
fs-synapse,worsening,13.419465603046602,0.0,2,6.709732801523301
cosg,worsening,13.323501869151642,0.0,2,6.661750934575821
networkx-query,worsening,12.630151285901285,0.0,2,6.315075642950642
pytest-only,worsening,12.3319735888762,0.0,2,6.1659867944381
flask-authz,worsening,11.939067892967628,0.007488486015526705,5,21.959808689648476
orthogonal,worsening,11.905857179586096,0.007895256455031833,8,2.9736764066924994
p4runtime,worsening,11.881812667045054,0.0,2,5.940906333522527
rocketchat-async,worsening,11.669494817516854,0.033003490991284974,4,13.629311202773646
mdproptools,worsening,11.646841630017308,0.0,2,5.823420815008654
openwisp-ipam,worsening,11.400918429204339,0.022812824108029373,5,4.910707756656506
flask-healthz,worsening,11.0,0.0,2,5.5
ledgereth,worsening,10.638526027874104,6.557502261876038e-05,11,40.75560299984518
dakarabase,worsening,10.371342325442471,0.0003802177307107088,10,56.37000857664971
newversion,worsening,10.091299545258432,0.014089785811422026,10,0.0
hyperspy-gui-traitsui,worsening,9.995110499212258,0.008617510508150796,8,0.0
pygeofilter,worsening,9.728971348792863,0.02486938888696897,5,21.289717431726512
nuts,worsening,9.430342791095425,0.002999396721668128,14,0.0
uw-memcached-clients,worsening,9.381492948056417,0.0007310131963112128,18,0.0
freegs,worsening,9.081959284260764,0.0,2,4.540979642130382
classla,worsening,9.001718376456818,0.002066462485873533,7,34.677366149840445
mopidy-spotify,worsening,8.950985451839168,0.009421542783520576,5,14.25
gppt,worsening,8.75200943353018,1.0887190840412986e-05,15,20.790505558280977
tokenlists,worsening,8.672082758261652,0.0012398036915873308,10,26.188897682824333
aneris-iamc,worsening,8.410623978318254,0.0,2,4.205311989159127
astro-seeing,worsening,8.303018828415071,0.0,2,4.151509414207536
fhconfparser,worsening,8.30264598132804,0.0,2,4.15132299066402
python-frontmatter,worsening,8.0,0.0,2,4.0
behave-django,worsening,7.972030728546036,0.03865318213153666,10,0.0
fmu-config,worsening,7.636363636363636,0.000566964310894561,11,55.99999999999999
lacosmic,worsening,7.147857212973411,0.0,2,3.5739286064867053
